fixture	kind	class	rustc_verdict	rustc_code_or_exit	expected_in_tree	note
bc_0913c_staticdemand_hb_m2i_static_method_refuse	fail	CONFIRMED	REFUSED	E0521	[fn error]: call to 'K::keep': borrowed data escapes — argument 1 `u` does not live for 	
bc_0913c_staticdemand_hb_m2i_struct_arg_refuse	fail	CONFIRMED	REFUSED	E0521	[fn error]: call to 'keep': borrowed data escapes — argument 1 does not live for 'static	
bc_0913d_staticdemand_hb_x01_refuse	fail	CONFIRMED	REFUSED	E0521	[fn f]: call to 'keepo': borrowed data escapes — argument 1 does not live for 'static, w	
bc_0913d_staticdemand_hb_x02_refuse	fail	CONFIRMED	REFUSED	E0521	[fn f]: call to 'keeph': borrowed data escapes — argument 1 does not live for 'static, w	
bc_0913d_staticdemand_hb_x03_refuse	fail	CONFIRMED	REFUSED	E0521	[fn f]: call to 'keep': borrowed data escapes — argument 1 `u` does not live for 'static	
bc_0913d_staticdemand_hb_x04_refuse	fail	CONFIRMED	REFUSED	E0521	[fn f]: call to 'both': borrowed data escapes — argument 2 `u` does not live for 'static	
bc_0913d_staticdemand_hb_x05_refuse	fail	CONFIRMED	REFUSED	E0521	[fn f]: call to 'keeph': borrowed data escapes — argument 1 `h` does not live for 'stati	
bc_0913d_staticdemand_hb_x06_refuse	fail	CONTRADICTED	ACCEPTED	exit 0	[fn f]: call to 'two': caller does not satisfy callee's outlives bound `'a: 'b` (under arg	rustc ACCEPTS; twin is verbatim-faithful. Logos over-refuses.
bc_0913d_staticdemand_hb_x09_refuse	fail	CONFIRMED	REFUSED	E0521	[fn f]: call to 'keep': borrowed data escapes — the receiver does not live for 'static, 	
bc_0913d_staticdemand_hb_y01b_refuse	fail	CONFIRMED	REFUSED	E0597	[fn set]: assignment to 'HS': variance mismatch — expected H<'static>, got H<'_> — lif	
bc_0913d_staticdemand_hb_y04_refuse	fail	CONFIRMED	REFUSED	E0597	[fn set]: assignment to 'TP': variance mismatch — expected ((&'static u8, i64), i64), go	
bc_0913d_staticdemand_hb_y05_refuse	fail	CONFIRMED	REFUSED	E0597	[fn set]: assignment to 'TP.0': variance mismatch — expected &'static u8, got &u8 — li	
bc_0913d_staticdemand_hb_y06_refuse	fail	CONFIRMED	REFUSED	E0597	[fn set]: assignment to 'BAR': variance mismatch — expected &'static u8, got &u8 — lif	
bc_0913d_staticdemand_hb_z02_refuse	fail	CONFIRMED	REFUSED	E0521	[fn f]: call to 'keep': borrowed data escapes — argument 1 `u` does not live for 'static	
bc_0913d_staticdemand_hb_z03_refuse	fail	CONFIRMED	REFUSED	E0521	[fn f]: call to 'keep': borrowed data escapes — argument 1 `u` does not live for 'static	
bc_0913d_staticdemand_hb_z04_refuse	fail	CONFIRMED	REFUSED	E0521	[fn f]: call to 'keep': borrowed data escapes — argument 1 `u` does not live for 'static	twin rewrite marked // TWIN:
bc_0913d_staticdemand_hb_z05_refuse	fail	CONFIRMED	REFUSED	E0521	[fn outer]: call to 'keep2': borrowed data escapes — argument 2 `u` does not live for 's	
bc_0913e_declarrival_hb_i_w11_refuse	fail	CONFIRMED	REFUSED	E0425	[trait Q]: unknown type 'T'	
bc_0913e_declarrival_hb_r17_e_refuse	fail	CONFIRMED	REFUSED	E0425	[fn W__m]: unknown type 'T'	
bc_0913e_declarrival_hb_wh5_refuse	fail	CONFIRMED	REFUSED	E0425	[trait Q]: unknown type 'T'	
bc_0913e_declarrival_hb_wh8_refuse	fail	CONFIRMED	REFUSED	E0425	[fn A__q]: unknown type 'T'	
bc_0913f_declarrivalland_hb_x_c02_refuse	fail	CONFIRMED	REFUSED	E0107	[fn main]: 'P': expected 0 lifetime arg(s), got 1	
bc_0913f_declarrivalland_hb_x_c03_refuse	fail	CONFIRMED	REFUSED	E0107	[fn main]: 'Color': expected 0 lifetime arg(s), got 1	
bc_0913f_declarrivalland_hb_x_c05_refuse	fail	CONFIRMED	REFUSED	E0107	[fn E__mk]: 'E': expected 2 lifetime arg(s), got 1	
bc_0913f_declarrivalland_hb_x_k02_refuse	fail	CONFIRMED	REFUSED	E0308	[impl T2 for S]: impl T2 for S: associated constant 'A' has type	
bc_0913f_declarrivalland_hb_x_k04_refuse	fail	CONFIRMED	REFUSED	E0308	[fn S__get]: impl Tr for S: method 'get' does not match the trait declaration: the return 	
bc_0913f_declarrivalland_hb_x_k05_refuse	fail	CONFIRMED	REFUSED	E0308	[impl Named for S]: impl Named for S: associated constant 'N' has type	
bc_0913f_declarrivalland_hb_x_k06_refuse	fail	CONFIRMED	REFUSED	E0308	[impl Named for S]: impl Named for S: associated constant 'N' has type	
bc_0913f_declarrivalland_hb_x_w01_refuse	fail	CONFIRMED	REFUSED	E0425	[impl Q for S]: unknown type 'T'	
bc_0913f_declarrivalland_hb_x_w02_refuse	fail	CONFIRMED	REFUSED	E0425	[impl S]: unknown type 'Zed'	
bc_0913f_declarrivalland_hb_x_w03_refuse	fail	CONFIRMED	REFUSED	E0425	[fn S__make]: unknown type 'Zed'	
bc_0913f_declarrivalland_hb_x_w04_refuse	fail	CONFIRMED	REFUSED	E0425	[fn S__q]: unknown type 'T'	
bc_0913f_declarrivalland_hb_x_w06_refuse	fail	CONFIRMED	REFUSED	E0425	[trait Q]: unknown type 'T'	
bc_0913f_declarrivalland_hb_x_w07_refuse	fail	CONFIRMED	REFUSED	E0425	[struct P]: unknown type 'T'	
bc_0913f_declarrivalland_hb_x_w10_refuse	fail	CONFIRMED	REFUSED	E0425	[trait Q]: unknown type 'T'	
bc_0913f_declarrivalland_hb_x_w11_refuse	fail	CONFIRMED	REFUSED	E0425	[impl Q for W]: unknown type 'Zed'	
bc_0913f_declarrivalland_hb_x_w12_refuse	fail	CONFIRMED	REFUSED	E0411	[fn f]: unknown type 'Self'	
bc_0914a_ptrcoerce_hb_d03_refuse	fail	CONFIRMED	REFUSED	E0308	[fn f]: return type mismatch: variance mismatch — expected *mut &'b i64, got &mut [&'a i	
bc_0914a_ptrcoerce_hb_i01_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn f]: let 'y': variance mismatch — expected *mut &'b i64, got &mut &'a i64 — lifetim	
bc_0914a_ptrcoerce_hb_i05_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn f]: return type mismatch: variance mismatch — expected &'c &'b i64, got &'c mut &'a 	
bc_0914a_ptrcoerce_hb_i08_refuse	fail	CONFIRMED	REFUSED	E0308	[fn f]: return type mismatch: variance mismatch — expected *const &'b i64, got &[&'a i64	
bc_0914a_ptrcoerce_hb_j04_refuse	fail	CONFIRMED	REFUSED	E0502	[fn main]: cannot borrow 'v' as mutable: 'v' has shared borrows	twin rewrite marked // TWIN:
bc_0914a_ptrcoerce_hb_j06_refuse	fail	CONFIRMED	REFUSED	E0502	[fn main]: cannot borrow 'v' as mutable: 'v' has shared borrows	
bc_0914a_ptrcoerce_hb_j08_refuse	fail	CONFIRMED	REFUSED	E0502	[fn main]: cannot borrow 'v' as mutable: 'v' has shared borrows	
bc_0914a_ptrcoerce_hb_j09_refuse	fail	CONFIRMED	REFUSED	E0502	[fn main]: cannot borrow 'v' as mutable: 'v' has shared borrows	
bc_0914b_ptrcoerceland_hb_v02a_refuse	fail	CONFIRMED	REFUSED	E0502	[fn main]: cannot borrow 'v' as mutable: 'v' has shared borrows	
bc_0914b_ptrcoerceland_hb_v23_refuse	fail	CONFIRMED	REFUSED	E0502	[fn main]: cannot borrow 'v' as mutable: 'v' has shared borrows	
bc_0914b_ptrcoerceland_hb_x01_refuse	fail	CONFIRMED	REFUSED	E0502	[fn main]: cannot borrow 'v' as mutable: 'v' has shared borrows	
bc_0914b_ptrcoerceland_hb_x05_refuse	fail	CONFIRMED	REFUSED	E0502	[fn main]: cannot borrow 'v' as mutable: 'v' has shared borrows	
bc_0914b_ptrcoerceland_hb_x06_refuse	fail	CONFIRMED	REFUSED	E0502	[fn main]: cannot borrow 'v' as mutable: 'v' has shared borrows	
bc_0914b_ptrcoerceland_hb_y01_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn set]: assignment to 'c.p': variance mismatch — expected *const &'static i64, got &&'	
bc_0914b_ptrcoerceland_hb_y03_refuse	fail	CONFIRMED	REFUSED	E0308	[fn f]: return type mismatch: variance mismatch — expected *const &'static i64, got &[&'	
bc_0914b_ptrcoerceland_hb_y06_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn f]: let 'p': variance mismatch — expected *const &'static i64, got *mut &'a i64 — 	
bc_0914b_ptrcoerceland_hb_y07_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn f]: return type mismatch: variance mismatch — expected *const (&'static i64, i64), g	
bc_0914b_ptrcoerceland_hb_y08_refuse	fail	CONFIRMED	REFUSED	(no code)	[fn f]: return type mismatch: variance mismatch — expected &mut [&'a i64], got &mut Vec<	twin v1 died on E0106 (Logos elides the returned &mut's lifetime); v2 spells it and refuses on invariance
bc_0914c_meetobl_hb_j01_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn f]: return type mismatch: lifetime may not live long enough — a M<'_> built from 'a 	
bc_0914c_meetobl_hb_j03_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn f]: return type mismatch: lifetime may not live long enough — a W<'_> built from 'b 	
bc_0914c_meetobl_hb_v5_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a P<'_, i64> built fr	
bc_0914c_meetobl_hb_x01_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a P<'_> built from 'a	
bc_0914c_meetobl_hb_x02_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a E<'_> built from 'a	
bc_0914c_meetobl_hb_x03_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a &i64 built from 'a 	
bc_0914c_meetobl_hb_x04_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: let 'p': lifetime may not live long enough — a P<'_> built from 'a and 'b is us	
bc_0914c_meetobl_hb_x05_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a P<'_> built from 'a	
bc_0914c_meetobl_hb_x07_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a P<'_> built from 's	
bc_0914c_meetobl_hb_x08_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a (P<'_>, i64) built 	
bc_0914c_meetobl_hb_x09_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a W<'_> built from 'a	
bc_0914c_meetobl_hb_x10_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a E<'_> built from 'b	
bc_0914c_meetobl_hb_x11_refuse	fail	CONFIRMED	REFUSED	E0621	[fn set_desc]: return type mismatch: lifetime may not live long enough — a Flag<'_> buil	
bc_0914c_meetobl_hb_x12_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a P<'_> built from 'a	
bc_0914c_meetobl_hb_x13_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a &i64 built from 'a 	
bc_0914c_meetobl_hb_x14_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a Box<P<'_>> built fr	
bc_0914c_meetobl_hb_x15_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a Option<P<'_>> built	
bc_0914c_meetobl_hb_x16_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn fill]: deref-write '*ptr = …': lifetime may not live long enough — a P<'_> built f	
bc_0914c_meetobl_hb_x17_refuse	fail	CONFIRMED	REFUSED	lifetime may not live long enough	[fn mk]: return type mismatch: lifetime may not live long enough — a Flag<'_> built from	
